Player,Solo score,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Solo minutesPlayed
Prospеring,2476763,1828,4.37,18,10150,36328,81389
BH nixxxay,439562,1694,8.71,29.1,5817,35895,12732
Raпger,4519465,4582,9.6,34,13488,85481,122171
Idk_Pi,752869,121,0.84,3.3,3687,3005,32453
Twitch.GryphonRB,1136282,1327,6.32,30,4429,19591,36245
Twitch Kayotica,2919037,1310,3.23,9.7,13438,39131,96777
FaZe Replays,2389537,1454,3.84,7.8,18670,66161,76258
NiteGamerYT 190k,15872,6,0.47,1.4,429,200,739
ᴮᵒˢˢン,6772116,6480,1.39,32.6,19864,18610,283835
CIUPEA 144.HZ,54479,9,0.61,0.5,1938,1174,2441
曼巴精神のR6,208411,103,4.17,12.2,844,3093,6661
DarkAssaSSin._,4840719,4295,3.34,30.6,14045,32611,171013
FLIZ_Mada YT,1665575,535,2.3,5,10596,23161,55978
Τriρs,478280,25,0.7,1,2581,1785,21679
MachiTv,4659548,3166,3.9,19.5,16273,51088,163199
C_D_S_,2469301,612,1.42,4.5,13464,18301,106526
Mₐₜₜzᵢₗₗₐツ,551309,62,1.59,2.5,2527,3930,22014
prOMancos,4300077,576,1.27,1.8,32898,40942,175643
Scribell,212388,34,1.03,2.3,1491,1505,8945
Qx_9u انستا,228620,79,1.03,2.4,3269,3281,8903
adore johnnyy,262750,91,1.68,3.2,2853,4641,10758
R.e.L.y.T,1896099,453,2.02,4.2,10883,21030,67687
RunLaMaJ,3151606,2159,4.96,23.6,9158,34742,99974
Deathfury420,1257973,51,0.95,0.6,8568,8101,55671
KING nax nax,1407541,70,0.8,0.7,10460,8356,63105
isDi x,991474,344,1.97,5.5,6306,11744,38410
SMS Efesto96,1955351,1876,5.73,21.8,8613,38611,64610
Maatheus ϟ,1937620,363,1.72,3,12041,20033,79646
UçaN_HamSi,67758,25,0.68,1.1,2182,1471,3199
Kid_Fighter,2428145,331,1.06,2.8,11967,12348,103551
sllion.,307632,87,1,5.8,1511,1422,13235
FaZe Thiefs,1355611,805,3.87,8.2,9813,34817,48384
IZHHAN,2502117,227,1.37,1.2,18266,24802,103625
Youtube Timyoshi,3169985,2019,5.12,16.2,12448,53411,98287
TTV_MuthaTuckaa,2243178,757,2.35,7,10790,23591,81046
boxed in prison,4067134,1552,3.02,9.7,15975,43489,145643
jsemac,4134984,265,0.68,0.9,28830,19535,184946
Ci2i,4323464,366,0.84,1.6,22321,18522,191232
TuToTV,1373562,653,2.96,8,8154,22166,47575
cleo coroa,939388,76,0.82,0.8,9529,7745,40310
MISFITZKING.,2817916,25,0.19,0.1,17166,3213,161451
Twitch ClueVibes,42073,5,1.06,0.6,796,838,1868
surergraph4426,4233445,1028,0.75,6,17231,12181,188701
Loeya,3130175,3929,5.31,25.7,15279,60282,100618
JStarset,354781,73,2.16,3.1,2320,4856,12317
ᴿᵃᵛᵌᴺᵔᵜᵔ,24262,7,0.64,2.3,311,196,1167
CODE MATEUS YT,2103248,910,2.44,5.6,16250,37392,74190
キᴼᴺᴱルbyONEア,1635695,362,1.61,2.4,15199,23836,66209
Onkel Apo 〆,1022158,174,0.99,2.5,7031,6783,45827
Recuerd0p,3792726,1494,2.3,6.3,23618,50819,150310
ManuelXD -,788742,886,2.43,38.4,2308,3456,31397
Raskology,2985790,2277,4.78,12.7,17926,74738,94433
madman.mm87,2422076,157,0.78,1.4,11143,8543,112357
