Player,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Squads top1,Squads kd,Squads winRatio,Squads matches,Squads kills
Prospеring,1828,4.37,18,10150,36328,5116,6.88,31.7,16131,75787
BH nixxxay,1694,8.71,29.1,5817,35895,4978,10.24,30.3,16433,117327
Raпger,4582,9.6,34,13488,85481,4435,8.4,32.9,13494,76065
Idk_Pi,121,0.84,3.3,3687,3005,336,0.87,4.1,8232,6892
Twitch.GryphonRB,1327,6.32,30,4429,19591,3445,7.58,36.2,9524,46068
Twitch Kayotica,1310,3.23,9.7,13438,39131,1433,3.18,10.1,14152,40507
FaZe Replays,1454,3.84,7.8,18670,66161,1224,3.33,9.1,13443,40730
NiteGamerYT 190k,6,0.47,1.4,429,200,359,1.79,8.6,4169,6803
ᴮᵒˢˢン,6480,1.39,32.6,19864,18610,173,0.64,8.2,2106,1238
CIUPEA 144.HZ,9,0.61,0.5,1938,1174,175,0.67,1.7,10100,6695
曼巴精神のR6,103,4.17,12.2,844,3093,1661,9.26,37.7,4404,25407
DarkAssaSSin._,4295,3.34,30.6,14045,32611,371,1.41,7.4,5024,6582
FLIZ_Mada YT,535,2.3,5,10596,23161,922,2.03,6.5,14146,26850
Τriρs,25,0.7,1,2581,1785,112,0.94,3.5,3221,2930
MachiTv,3166,3.9,19.5,16273,51088,718,2.88,9.7,7434,19345
C_D_S_,612,1.42,4.5,13464,18301,603,1.44,6.3,9621,12983
Mₐₜₜzᵢₗₗₐツ,62,1.59,2.5,2527,3930,305,2.01,5.5,5529,10491
prOMancos,576,1.27,1.8,32898,40942,104,1.51,2.7,3889,5708
Scribell,34,1.03,2.3,1491,1505,152,1.14,3.3,4572,5057
Qx_9u انستا,79,1.03,2.4,3269,3281,1123,2.05,10.4,10754,19758
adore johnnyy,91,1.68,3.2,2853,4641,142,2.54,8.5,1666,3874
R.e.L.y.T,453,2.02,4.2,10883,21030,268,1.87,6.4,4170,7279
RunLaMaJ,2159,4.96,23.6,9158,34742,1043,4.43,19.9,5236,18582
Deathfury420,51,0.95,0.6,8568,8101,482,0.88,1.7,28805,24878
KING nax nax,70,0.8,0.7,10460,8356,93,0.92,0.9,10034,9103
isDi x,344,1.97,5.5,6306,11744,923,2.88,11.1,8294,21208
SMS Efesto96,1876,5.73,21.8,8613,38611,2606,6.99,28.1,9267,46578
Maatheus ϟ,363,1.72,3,12041,20033,780,2.61,6.8,11409,27737
UçaN_HamSi,25,0.68,1.1,2182,1471,64,0.66,1.6,3929,2567
Kid_Fighter,331,1.06,2.8,11967,12348,1617,4.33,21.2,7637,26053
sllion.,87,1,5.8,1511,1422,1317,1.15,12.4,10652,10719
FaZe Thiefs,805,3.87,8.2,9813,34817,1232,3.17,11.5,10746,30139
IZHHAN,227,1.37,1.2,18266,24802,377,1.46,3,12580,17843
Youtube Timyoshi,2019,5.12,16.2,12448,53411,1544,4.99,18.8,8202,33239
TTV_MuthaTuckaa,757,2.35,7,10790,23591,378,3.47,13.1,2889,8710
boxed in prison,1552,3.02,9.7,15975,43489,340,2.81,8.5,3980,10232
jsemac,265,0.68,0.9,28830,19535,93,0.65,1.4,6595,4223
Ci2i,366,0.84,1.6,22321,18522,9,0.5,1.2,735,363
TuToTV,653,2.96,8,8154,22166,1139,3.29,12.9,8848,25353
cleo coroa,76,0.82,0.8,9529,7745,353,0.9,2,17462,15439
MISFITZKING.,25,0.19,0.1,17166,3213,7,0.41,0.7,1061,434
Twitch ClueVibes,5,1.06,0.6,796,838,186,1.18,3.2,5877,6700
surergraph4426,1028,0.75,6,17231,12181,173,0.83,6,2870,2229
Loeya,3929,5.31,25.7,15279,60282,295,3.94,18.4,1602,5147
JStarset,73,2.16,3.1,2320,4856,507,2.58,6.1,8339,20228
ᴿᵃᵛᵌᴺᵔᵜᵔ,7,0.64,2.3,311,196,2274,3.59,30.9,7358,18242
CODE MATEUS YT,910,2.44,5.6,16250,37392,847,2.44,7.1,11995,27211
キᴼᴺᴱルbyONEア,362,1.61,2.4,15199,23836,427,1.79,5.4,7953,13476
Onkel Apo 〆,174,0.99,2.5,7031,6783,592,1.46,5.5,10700,14794
Recuerd0p,1494,2.3,6.3,23618,50819,685,3.19,13.8,4949,13585
ManuelXD -,886,2.43,38.4,2308,3456,1795,5.53,39.2,4577,15383
Raskology,2277,4.78,12.7,17926,74738,866,3.67,11.2,7706,25109
madman.mm87,157,0.78,1.4,11143,8543,101,1.15,2,5098,5743
Ninjadad5,297,1.01,0.8,36487,36619,54,0.86,1.2,4366,3693
Woina derRentner,711,3.48,19.2,3702,10420,2446,4.44,24.7,9887,33038
dsl de JOYJOYC.,2600,5.05,21,12358,49305,1295,3.94,13.4,9670,32980
Temppu93,349,0.43,4.7,7475,3087,219,0.33,3.8,5813,1828
JGLEASY YouTube,583,1.53,4.2,13738,20188,153,1.67,4.7,3269,5207
Code ShogunOCE,395,3.2,9.6,4116,11902,559,2.85,10.1,5546,14207
187saiz,915,1.73,7.2,12760,20479,1108,4.05,16.5,6714,22686
RubinhoYT,1229,3.14,7,17441,50849,619,2.66,7.6,8149,19999
ᵗᵗᵛValeuPeloLoot,252,2.2,7.4,3408,6930,587,2.23,8.9,6582,13383
PKǃ,280,0.89,5,5586,4715,478,1.05,6.1,7799,7720
Fu03xX,445,2.13,2.4,18250,37942,530,2.47,4.6,11579,27239
Coach swag_,4258,5.04,19.4,21936,89023,1006,3.71,15.3,6576,20679
LƎО,52,1.16,1.5,3467,3963,446,1.49,4.4,10191,14483
FB RipDilly,1191,3.94,13.6,8747,29797,651,3.84,15.6,4167,13498
الشيخ الاردني,130,2,4.6,2824,5399,504,1.86,4.7,10763,19065
Tito Qukoᵗᵛ,747,2.48,8.2,9091,20652,1135,3.15,12.6,9020,24866
ATK MAC,139,1,1.7,8038,7908,161,1.37,3.7,4309,5700
ĩŃŜДΐα 57ſ3,180,1.15,4.9,3644,3981,1557,2.59,17.7,8806,18748
SoaR Prxnze,847,3.87,22.7,3730,11169,559,2.27,12.6,4442,8808
CODlCE XIUDERONE,481,1.03,2.5,18940,19061,808,1.24,13.6,5939,6360
MzViirus,60,1.75,7.1,841,1363,1624,2.22,13.1,12400,23941
ᴼᵇⁿᵒˣⁱᵒᵘˢ ᴰᵘᵈᵉ ツ,195,1.66,1.8,10856,17706,462,1.64,2,22777,36524
TTV_RelaxGee,174,2.05,3.3,5232,10392,379,1.99,4.8,7900,14990
Salted.Fishツ,37,1.49,0.8,4516,6684,474,2.07,4.6,10416,20610
TheNewbiieTTV,10,1.22,1.2,863,1037,91,1.36,4,2269,2967
Sparkles_qt,1645,2.69,8.1,20388,50501,199,2.49,11.7,1699,3728
juan ay лол ت,216,1.03,1.2,18101,18455,112,1.23,1.2,9057,11000
MRºRIP,11,0.97,2.7,410,387,0,0.37,0,142,53
Z-Fast-,65,1.81,2.1,3153,5585,925,1.94,4.3,21418,39853
stepbro Disarma,169,1.88,6.4,2643,4655,2276,4.48,19.2,11851,42931
MissJayBtw,64,0.93,1.4,4442,4050,186,1.21,4.6,4065,4694
VEM TRANQUILOO,130,1.05,4.7,2771,2763,143,1.46,4.8,2960,4121
SDHustler-YT,3495,2.73,27.7,12618,24890,467,0.89,23.3,2004,1365
Irøn Ðux,149,1.13,1.1,13787,15400,20,0.93,1.5,1336,1219
Roedor Salvaje,680,2.31,5.8,11676,25415,545,2.33,9.2,5951,12623
Snow on the top,244,1.58,2.6,9530,14652,216,1.69,4.2,5145,8347
kchorro_LôÔko,2193,3.44,20,10977,30204,312,2.38,7.8,4006,8805
Murid ӝ,525,1.86,1.9,27112,49396,277,1.89,3.7,7525,13680
Death 〤,192,1.71,2.8,6911,11457,820,2.26,6.7,12204,25759
