1,iheartabortion,5,3,Brazil,188
1,you diggin in me,3,4,USA,173
1,Rick,6,2,Italy,217
1,kumalala,2,1,Germany,217
1,Nukem,1,6,Airports,151
1,jahk tuah,4,5,N/A,154
2,iheartabortion,DNP,DNP,DNP,DNP
2,you diggin in me,1,5,Companies,213
2,Rick,5,1,USA,492
2,kumalala,2,3,N/A,226
2,Nukem,3,2,Italy,492
2,jahk tuah,4,4,N/A w UK,224
3,iheartabortion,6,1,USA,215
3,you diggin in me,4,2,Israel,215
3,Rick,3,4,Brazil,194
3,kumalala,1,5,N/A,161
3,Nukem,2,6,N/A,148
3,jahk tuah,5,3,N/A w UK,199
4,iheartabortion,4,3,UK,223
4,you diggin in me,5,4,N/A w China,184
4,Rick,1,5,Italy,159
4,kumalala,2,2,Germany,283
4,Nukem,6,6,N/A,128
4,jahk tuah,3,1,USA,283
5,iheartabortion,5,2,France,452
5,you diggin in me,2,4,Companies,286
5,Rick,4,6,N/A,264
5,kumalala,1,1,Germany,452
5,Nukem,6,3,N/A,299
5,jahk tuah,3,5,N/A,274
6,iheartabortion,2,1,USA,317
6,you diggin in me,3,4,France,177
6,Rick,1,2,Airports,317
6,kumalala,5,5,UK,169
6,Nukem,4,6,N/A w Germany,161
6,jahk tuah,6,3,China,290
7,iheartabortion,5,2,France,244
7,you diggin in me,1,4,N/A,141
7,Rick,3,5,Italy,133
7,kumalala,6,3,UK,158
7,Nukem,4,1,Germany,244
7,jahk tuah,2,6,N/A w Israel,122
8,iheartabortion,5,2,China,
8,you diggin in me,6,1,"Italy, USA, Companies",
8,Rick,1,3,Brazil,
8,kumalala,4,6,N/A w USA,
8,Nukem,2,5,N/A,
8,jahk tuah,3,4,Germany,
9,iheartabortion,2,1,"USA,UK,Brazil",204
9,you diggin in me,1,3,N/A,187
9,Rick,3,4,N/A,182
9,kumalala,5,2,N/A,204
9,Nukem,DNP,DNP,DNP,DNP
9,jahk tuah,4,5,N/A,168
10,iheartabortion,DNP,DNP,DNP,DNP
10,you diggin in me,5,2,UK,191
10,Rick,2,3,N/A w China,151
10,kumalala,1,4,N/A w Italy,148
10,Nukem,4,5,N/A w Israel,135
10,jahk tuah,3,1,"USA, Airports",191
11,iheartabortion,DNP,DNP,DNP,DNP
11,you diggin in me,3,2,Italy,158
11,Rick,4,5,N/A w Israel,114
11,kumalala,5,1,China,158
11,Nukem,1,4,N/a w USA,137
11,jahk tuah,2,3,Germany,138
12,iheartabortion,4,4,Germany,167
12,you diggin in me,3,3,USA,180
12,Rick,2,5,N/A,149
12,kumalala,1,2,"Airports, UK",218
12,Nukem,6,1,France,218
12,jahk tuah,5,6,N/A,105
13,iheartabortion,4,5,N/A,179
13,you diggin in me,3,2,UK,371
13,Rick,2,1,Germany,371
13,kumalala,1,4,Israel,216
13,Nukem,6,3,China,230
13,jahk tuah,5,6,N/A w Brazil,165
14,iheartabortion,2,6,N/A w London,170
14,you diggin in me,5,4,USA,394
14,Rick,1,3,N/A,249
14,kumalala,4,1,China,394
14,Nukem,6,5,Companies,210
14,jahk tuah,3,2,Italy,394
15,iheartabortion,3,2,USA,302
15,you diggin in me,4,4,Israel,264
15,Rick,1,3,N/A,277
15,kumalala,2,6,N/A w Italy,157
15,Nukem,6,5,N/A,161
15,jahk tuah,5,1,France,302
